Image;Label;Remark
A005;Negative;No bacterial colonies
A007;Negative;No bacterial colonies
A015;Negative;No bacterial colonies
A021;Negative;No bacterial colonies
A023;Positive;Brownish bacterial colonies
A024;Positive;Purple bacterial colonies
A025;Positive;Reddish bacterial colonies
A026;Positive;Greenish bacterial colonies
A029;Positive;Light bacterial colonies
A034;Negative;No bacterial colonies
A037;Negative;No bacterial colonies
A042;Negative;No bacterial colonies
A043;Negative;No bacterial colonies
A045;Positive;Greenish bacterial colonies
A050;Positive;Greenish bacterial colonies
A052;Positive;Greenish bacterial colonies
A062;Positive;Reddish and greenish bacterial colonies
A064;Positive;Greenish (also reddish) bacterial colonies
A066;Positive;Reddish and greenish bacterial colonies
A067;Positive;Reddish bacterial colonies
A075;Positive;Colourless bacterial colonies
A077;Positive;Light pinkish bacterial colonies
A078;Positive;Purple bacterial colonies
A080;Positive;Greenish bacterial colonies
A083;Positive;Reddish bacterial colonies
A084;Positive;Almost black bacterial colonies
A085;Positive;Whitish and reddish bacterial colonies
A088;Positive;Light and greenish bacterial colonies
A098;Positive;Gray bacterial colonies
A108;Positive;Reddish and brownish bacterial colonies
A118;Positive;Reddish bacterial colonies
A121;Positive;Reddish and greenish bacterial colonies
A135;Positive;Greenish (also brownish) bacterial colonies
A139;Negative;No bacterial colonies
A142;Negative;No bacterial colonies
A145;Negative;No bacterial colonies
A148;Negative;No bacterial colonies
A152;Negative;No bacterial colonies
A156;Negative;No bacterial colonies
A158;Negative;No bacterial colonies
A160;Negative;No bacterial colonies
A163;Negative;No bacterial colonies
A172;Positive;Grayish brown bacterial colonies
